roi_index	roi_name	slope	intercept	population_residual	r_squared
78	ContC_Ins_1_L	1.103348	0.014328	0.125001	0.438788
79	ContC_PFCm_1_L	0.468391	0.029714	0.151991	0.170264
80	ContC_PFCm_2_L	0.577767	0.035966	0.153779	0.150631
81	ContC_PHC_1_L	0.225415	0.067492	0.165834	0.012245
82	ContC_pCun_1_L	-0.05082	0.08176	0.166672	0.002234
83	ContC_pCun_2_L	-0.024551	0.079102	0.166826	0.000384
84	SalVenAttnA_FrMed_1_L	0.332639	0.040072	0.158917	0.092928
85	SalVenAttnA_FrMed_2_L	0.312404	0.051169	0.161788	0.059848
86	SalVenAttnA_FrOper_1_L	0.682206	0.011908	0.130484	0.388469
87	SalVenAttnA_IPL_1_L	0.424095	0.048191	0.157979	0.103601
88	SalVenAttnA_Ins_1_L	0.469521	0.0007	0.131219	0.38156
89	SalVenAttnA_Ins_2_L	0.406155	0.014245	0.138577	0.310262
90	SalVenAttnA_Ins_3_L	0.121337	0.0545	0.162827	0.047743
91	SalVenAttnA_PFCd_1_L	0.205023	0.054555	0.164648	0.026322
92	SalVenAttnA_SPL_1_L	0.24566	0.061892	0.164794	0.024592
93	SalVenAttnA_SPL_2_L	-0.035836	0.07954	0.166823	0.000429
94	SalVenAttnA_SPL_3_L	-0.022881	0.078952	0.166837	0.000255
95	SalVenAttnB_IFG_1_L	0.464906	0.000331	0.124421	0.443979
96	SalVenAttnB_IPL_1_L	0.30695	0.055529	0.161588	0.062177
97	SalVenAttnB_IPL_2_L	0.347592	0.056237	0.16125	0.06609
98	SalVenAttnB_Ins_1_L	1.406434	-0.005715	0.107407	0.58565
99	SalVenAttnB_Ins_2_L	0.545942	-0.010047	0.115571	0.520269
100	SalVenAttnB_OFC_1_L	1.360463	0.024101	0.131731	0.376723
101	SalVenAttnB_OFC_2_L	2.321379	0.028047	0.128667	0.405386
102	SalVenAttnB_PFCl_1_L	0.696598	0.007359	0.132777	0.366785
103	SalVenAttnB_PFCl_2_L	0.616364	0.011891	0.139383	0.302218
104	SalVenAttnB_PFCl_3_L	0.708688	-0.003322	0.117728	0.502187
105	SalVenAttnB_PFCmp_1_L	0.46566	0.030754	0.152944	0.159831
106	SalVenAttnB_SPL_1_L	0.060638	0.071859	0.166682	0.002115
107	SalVenAttnB_Temp_1_L	0.409284	0.05437	0.161401	0.064347
108	DorsAttnA_IPL_1_L	0.728684	0.051653	0.157758	0.106105
109	DorsAttnA_IPL_2_L	0.512697	0.056076	0.160588	0.07375
110	DorsAttnA_IPS_1_L	0.130437	0.061954	0.164452	0.028641
111	DorsAttnA_IPS_2_L	0.063946	0.074061	0.166736	0.001463
112	DorsAttnA_IPS_3_L	-0.015542	0.078401	0.166842	0.000201
113	DorsAttnA_IPS_4_L	0.129874	0.071206	0.166357	0.006003
114	DorsAttnA_PFCd_1_L	0.3707	0.022556	0.152021	0.169933
115	DorsAttnA_PrCd_1_L	0.331944	0.038127	0.157636	0.107491
116	DorsAttnA_PrCv_1_L	0.469231	0.015565	0.135862	0.337023
117	DorsAttnA_SPL_1_L	-0.057155	0.08191	0.166692	0.001989
118	DorsAttnA_SPL_2_L	-0.02481	0.079615	0.166804	0.000657
119	DorsAttnA_TempOcc_1_L	0.255785	0.049664	0.160554	0.074138
120	DorsAttnA_TempOcc_2_L	0.227019	0.05247	0.161446	0.063828
121	DorsAttnA_TempOcc_3_L	0.278771	0.052373	0.161079	0.068071
122	DorsAttnA_TempPole_1_L	2.709294	0.064021	0.160407	0.075835
123	DorsAttnA_TempPole_2_L	1.254446	0.067263	0.164023	0.033693
124	DorsAttnB_FrMed_1_L	0.067893	0.071359	0.166682	0.002115
125	DorsAttnB_ParOper_1_L	1.210187	0.048768	0.154323	0.144607
126	DorsAttnB_PostC_1_L	0.540463	0.054499	0.159706	0.083897
127	DorsAttnB_PostC_2_L	0.490274	0.054504	0.159876	0.081942
128	DorsAttnB_PostC_3_L	0.273317	0.053435	0.161223	0.066408
129	DorsAttnB_PrCd_1_L	0.217514	0.04815	0.162739	0.048773
